,Category,Price,Origin
556,shirts,30.0,depop
557,outerwear,45.0,depop
558,outerwear,39.0,depop
559,outerwear,16.0,depop
560,shirts,14.0,depop
561,outerwear,20.0,depop
562,shirts,15.0,depop
563,outerwear,15.0,depop
564,shirts,12.0,depop
565,outerwear,15.0,depop
566,outerwear,30.0,depop
567,outerwear,16.0,depop
568,outerwear,20.0,depop
