ID,User_id,Sold,Gender,Category,subcategory,size,State,Brand,Colors,Price,Image,Description,Title,Platform,Address,discountedPriceAmount,dateUpdated
329019260,6955273,P,male,outerwear,sweatshirts,,Used - Good,jansport,Green,13.0,,"Green Jansport embroidered crewneck sweatshirt 90s

Embroidered spring arbor college 1873

Size Large 
Pit to pit 21”
Top to bottom 24”

#jansport #crewneck #sweatshirt #college",vxmatt1000 green jansport embroidered crewneck sweatshirt,Depop,"Perrysburg, United States",,2022-12-13T02:09:27.46367Z
329024921,6955273,P,male,shirts,tshirts,,Used - Good,,Grey,10.0,,"Fishing graphic t-shirt BORN TO FISH FORCED TO WORK 

Size XXL comfort colors high quality soft 

Pit to pit 28”
Top to bottom 31”",vxmatt1000 fishing graphic t shirt born to,Depop,"Perrysburg, United States",,2022-12-13T02:09:20.25767Z
329023634,6955273,P,male,outerwear,sweatshirts,,Used - Excellent,lee,Grey,8.0,,"Vintage Heavyweight lee pullover crewneck made in USA McComb graphic on front

Very warm and soft awesome oversized fit 

Size xl

Pit to pit 25”
Top to bottom 28”
Sleeves 23”

#vintage #crewneck #sweatshirt #lee #heavyweight",vxmatt1000 vintage heavyweight lee pullover crewneck,Depop,"Perrysburg, United States",,2022-12-13T02:09:16.786648Z
323864980,6955273,P,male,outerwear,jackets,,Used - Good,,Green,100.0,,"Olive Carhartt Jacket J14 in Olive color-way (2003)

Size Men’s XL, oversized fit for size large

Sleeve 25”, Pit to pit 27”, waist 25”, shoulders to bottom 29”

Great condition 

#carharttjacket #olive #travis #olivejacket #greenjacket",vxmatt1000 j14 carhartt jacket in olive,Depop,"Perrysburg, United States",,2022-12-13T02:08:30.698581Z
327720749,6955273,P,male,outerwear,jackets,,Used - Good,,Green,20.0,,"Hunt club windbreaker jacket y2k olive green

Size xl tall 

Sleeves 24”
Pit to pit 26”
Top to bottom 28”

#huntclub #wind",vxmatt1000 hunt club windbreaker jacket y2k,Depop,"Perrysburg, United States",,2022-12-13T02:07:30.172025Z
327718750,6955273,P,male,outerwear,sweatshirts,,Used - Good,nutmeg,Red,38.0,,"Vintage Chicago bulls NBA crewneck sweatshirt red

Nutmeg tag, size is a large but fit is much more like medium. Please see measurements.

Pit to pit 20”
Sleeves 23” 
Top to bottom 24.5”

#bulls #vintageNBA #nba #chicago #vintage",vxmatt1000 vintage chicago bulls nba crewneck,Depop,"Perrysburg, United States",,2022-12-13T02:07:22.828193Z
324521510,6955273,P,male,outerwear,jackets,,Used - Good,starter,"Red,White",26.0,,"Starter Ohio state windbreaker jacket lightweight y2k

Size xl pit to pit 27” sleeves 24” top to bottom 28”

#OSU #buckeyes #starter #collegefootball",vxmatt1000 starter ohio state windbreaker jacket,Depop,"Perrysburg, United States",,2022-12-13T02:06:31.37905Z
323125455,6955273,M,male,bottoms,jeans,,Used - Good,,"Blue,Silver",37.0,,"Silver tab baggy Levi’s jeans 
Small hole in back pocket

36 by 32

#silvertab #levis #baggy #skater #y2kjeans",vxmatt1000 silver tab baggy levis jeans,Depop,"Perrysburg, United States",,2022-12-13T02:05:21.806826Z
323077281,6955273,P,male,bottoms,jeans,,Used - Good,levi-s,Blue,22.0,,"Levis carpenter jeans size 34  width by 32 length
Loose straight fit, pretty baggy and comfortable

#carpenter #levisjeans #carpenterjeans #cargo #cargopants 
Small stain on butt barely visible and can easily be washed out",vxmatt1000 levis carpenter jeans size 34,Depop,"Perrysburg, United States",,2022-12-13T02:05:17.519855Z
322305195,6955273,P,male,outerwear,sweatshirts,,Used - Good,nike,"White,Black",33.0,,"amazing white nike sweatshirt
this hoodie is comfy and  features the nike
logo embroidered 
Size small but womens medium 
#nike #sweatshirt #sporty #sportswear #hoodie",vxmatt1000 amazing white nike sweatshirt this,Depop,"Perrysburg, United States",,2022-12-13T02:04:15.284424Z
322300621,6955273,P,male,outerwear,sweatshirts,,Used - Good,russell-athletic,"Tan,White",20.0,,"Beautiful vintage Penn State crew neck sweatshirt 
with the 80s Vintage Russell Athletic tag

If this was large no way I would sell but it’s medium so it’s up for grabs lol

#russell #russellathletic #pennstate #NittanyLions #PSU",vxmatt1000 beautiful vintage penn state crew,Depop,"Perrysburg, United States",,2022-12-13T02:04:09.008239Z
321408597,6955273,P,male,outerwear,sweatshirts,,Used - Excellent,sergio-tacchini,"Blue,Navy",35.0,,"Vintage 70s italian oversized long sleeve polo sweatshirt

Size is 2xl tall, oversized fit for a mens large 

Awesome design and great colors 
#90s #Seinfeld #y2k #kramer #vintage",vxmatt1000 vintage 70s italian oversized long,Depop,"Perrysburg, United States",,2022-12-13T02:03:37.087632Z
322212096,6955273,M,male,shirts,tshirts,,Used - Excellent,gildan,"Tan,Red",20.0,,"Insanely detailed tractor 🚜 pulling t shirt
Fire design
Goldman tag size men’s medium (tighter fit for mens large)


#f1 #nascar #racing #racingtee #screenprint",vxmatt1000 insanely detailed tractor pulling,Depop,"Perrysburg, United States",,2022-12-13T01:58:21.843431Z
326151884,6955273,M,male,shirts,tshirts,,Used - Good,,Tan,12.0,,"Acadia national park t-shirt 
Animal track graphic 

No tag but size is ~medium 
Pit to pit 19”
Top to bottom 26”

#nationalpark #acadia #animal #park #hiking",vxmatt1000 acadia national park t shirt animal,Depop,"Perrysburg, United States",,2022-12-13T01:57:14.536884Z
323968117,6955273,P,male,shirts,tshirts,,Used - Good,oneita,"Grey,Blue",24.0,,"Vintage Miami University fraternity sorority rush week t-shirt 

Size XL on the oneita tag pit to pit 21” top to bottom 27.5” 

#miamioxford #oxford #fraternity #sorority #rushweek",vxmatt1000 vintage single stitch miami university,Depop,"Perrysburg, United States",,2022-12-13T01:52:08.42908Z
